<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
181220;000000;150.23;152.38;149.7;152.27;27281980
181221;000000;151.41;152.27;150.32;151.12;24584730
181224;000000;150.66;151.15;148.93;149.73;10653140
181225;000000;148.36;148.49;145.02;147.01;13164880
181226;000000;147.47;149.66;147.36;148.41;8569530
181227;000000;151;152.4;150.06;150.68;16265460
181228;000000;151.68;153.8;151.16;153;14209990
181229;000000;153.69;153.73;152.82;153.5;2882780
190103;000000;154.13;157.3;154.11;156.28;14156530
190104;000000;156.74;159.15;156.71;159.15;14532100
190108;000000;158.65;158.94;156.55;158.26;16952510
190109;000000;158.88;160.4;158.4;160.24;19132150
190110;000000;159.74;160.2;157.56;160.2;19908540
190111;000000;160.21;161.13;159.8;161;17594360
190114;000000;159.84;160.75;159.2;160.48;12570310
190115;000000;160.97;161.5;157.35;158.15;20807500
190116;000000;158.35;158.75;155.8;156.9;20854450
190117;000000;157.21;157.29;155.6;157.1;16138910
190118;000000;158.17;159.2;157.43;159.2;18171920
190121;000000;159.02;160.07;158.01;158.3;11848340
190122;000000;157.86;158.5;156.57;158.5;18825760
190123;000000;158.22;159.9;158.02;159.9;14565330
190124;000000;159.71;162.78;158.86;160.9;35642150
190125;000000;161.61;162.82;160.18;162.82;19740330
190128;000000;162.4;163.58;159.82;160.56;23869790
190129;000000;160.14;162.98;159;162.95;22802210
190130;000000;162.51;165.84;162.26;165.4;25103830
190131;000000;166;166.49;162.55;162.82;30619120
190201;000000;162.47;164.37;161.75;163.33;23022290
190204;000000;163.37;165;162.81;163.2;11455620
190205;000000;163.45;165.43;162.54;164.25;13705790
190206;000000;164.44;164.67;163.07;163.21;9544680
190207;000000;162.88;163.44;159.1;160.39;23511620
190208;000000;159.17;161.36;158.11;159.8;19392120
190211;000000;160.43;162.3;160.18;161.29;19102430
